source_scenario_id,match_id,agent_name,baseline_name,player_card,opponent_card,starting_side,evaluated_agent_side,normalized_side,winner,turns,stop_reason,fallback_count,elapsed_seconds,baseline_strength,side_priority,turn_complexity,hard_example_priority,hard_example_rank,replay_level,mining_status,records_mined,queue_position
NB48_LOSS_182,182,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0008304000366479,2.0,2.0,1.0,4.0,64,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,64
NB48_LOSS_186,186,Competitive Policy,Greedy Damage Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0009332000045105,2.0,2.0,1.0,4.0,65,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,65
NB48_LOSS_190,190,Competitive Policy,Greedy Damage Baseline,Meowth,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0008497999515384,2.0,2.0,1.0,4.0,66,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,66
NB48_LOSS_194,194,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0007839000318199,2.0,2.0,1.0,4.0,67,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,67
NB48_LOSS_198,198,Competitive Policy,Greedy Damage Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0008612000383436,2.0,2.0,1.0,4.0,68,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,68
NB48_LOSS_46,46,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,5,Battle reached a terminal state.,0,0.0016519000055268,1.0,2.0,1.5,3.0,69,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,69
NB48_LOSS_70,70,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Player,Opponent,Opponent,Player,5,Battle reached a terminal state.,0,0.0016213000053539,1.0,2.0,1.5,3.0,70,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,70
NB48_LOSS_211,211,Competitive Policy,Depth-6 Search Baseline,Eevee,Charmander,Opponent,Player,Player,Opponent,3,Battle reached a terminal state.,0,0.0044063999084755,3.0,1.0,1.0,3.0,71,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,71
NB48_LOSS_223,223,Competitive Policy,Depth-6 Search Baseline,Eevee,Charmander,Opponent,Player,Player,Opponent,3,Battle reached a terminal state.,0,0.0049062999896705,3.0,1.0,1.0,3.0,72,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,72
NB48_LOSS_235,235,Competitive Policy,Depth-6 Search Baseline,Eevee,Charmander,Opponent,Player,Player,Opponent,3,Battle reached a terminal state.,0,0.0039454000070691,3.0,1.0,1.0,3.0,73,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,73
NB48_LOSS_247,247,Competitive Policy,Depth-6 Search Baseline,Eevee,Charmander,Opponent,Player,Player,Opponent,3,Battle reached a terminal state.,0,0.0049001999432221,3.0,1.0,1.0,3.0,74,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,74
NB48_LOSS_259,259,Competitive Policy,Depth-6 Search Baseline,Eevee,Charmander,Opponent,Player,Player,Opponent,3,Battle reached a terminal state.,0,0.0041096999775618,3.0,1.0,1.0,3.0,75,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,75
NB48_LOSS_271,271,Competitive Policy,Depth-6 Search Baseline,Eevee,Charmander,Opponent,Player,Player,Opponent,3,Battle reached a terminal state.,0,0.0041872999863699,3.0,1.0,1.0,3.0,76,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,76
NB48_LOSS_283,283,Competitive Policy,Depth-6 Search Baseline,Eevee,Charmander,Opponent,Player,Player,Opponent,3,Battle reached a terminal state.,0,0.0044424999505281,3.0,1.0,1.0,3.0,77,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,77
NB48_LOSS_295,295,Competitive Policy,Depth-6 Search Baseline,Eevee,Charmander,Opponent,Player,Player,Opponent,3,Battle reached a terminal state.,0,0.0039052000502124,3.0,1.0,1.0,3.0,78,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,78
NB48_LOSS_4,4,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0014380998909473,1.0,2.0,1.3333333333333333,2.6666666666666665,79,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,79
NB48_LOSS_40,40,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0015104000922292,1.0,2.0,1.3333333333333333,2.6666666666666665,80,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,80
NB48_LOSS_52,52,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0015301998937502,1.0,2.0,1.3333333333333333,2.6666666666666665,81,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,81
NB48_LOSS_76,76,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0013916000025346,1.0,2.0,1.3333333333333333,2.6666666666666665,82,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,82
NB48_LOSS_88,88,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0012931000674143,1.0,2.0,1.3333333333333333,2.6666666666666665,83,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,83
NB48_LOSS_100,100,Competitive Policy,Random Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0016931999707594,1.0,2.0,1.3333333333333333,2.6666666666666665,84,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,84
NB48_LOSS_2,2,Competitive Policy,Random Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0009311999892815,1.0,2.0,1.0,2.0,85,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,85
