strategy,feature_position,feature_name,importance,importance_rank,importance_percent,feature_type,base_feature
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,4,numeric__opponent_damage,0.004130139217494146,36,0.41301392174941454,numeric,opponent_damage
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,26,categorical__current_side_Player,0.0037327089042817753,37,0.3732708904281775,categorical,current_side_Player
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,30,categorical__player_card_Charmander,0.003548884649595696,38,0.3548884649595696,categorical,player_card_Charmander
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,25,categorical__current_side_Opponent,0.0032323135749926,39,0.32323135749926,categorical,current_side_Opponent
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,34,categorical__opponent_card_Eevee,0.00221950115183979,40,0.221950115183979,categorical,opponent_card_Eevee
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,11,numeric__absolute_energy_difference,0.0017843733714784456,41,0.17843733714784454,numeric,absolute_energy_difference
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,44,categorical__battle_phase_LATE,0.001458819038362359,42,0.1458819038362359,categorical,battle_phase_LATE
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,33,categorical__opponent_card_Charmander,0.001224971132379785,43,0.12249711323797849,categorical,opponent_card_Charmander
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,45,categorical__battle_phase_MID,0.001036848579699197,44,0.1036848579699197,categorical,battle_phase_MID
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,43,categorical__battle_phase_EARLY,0.000975121567155268,45,0.0975121567155268,categorical,battle_phase_EARLY
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,31,categorical__player_card_Eevee,0.0008945917046901148,46,0.08945917046901147,categorical,player_card_Eevee
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,51,categorical__damage_band_MEDIUM_DAMAGE,0.0006134706411615327,47,0.06134706411615327,categorical,damage_band_MEDIUM_DAMAGE
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,10,numeric__energy_difference,0.0005598100000726531,48,0.055981000007265316,numeric,energy_difference
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,50,categorical__damage_band_LOW_DAMAGE,0.0005088076037817745,49,0.050880760378177445,categorical,damage_band_LOW_DAMAGE
